Title,Year,Rated,Released,Runtime,Metascore,imdbRating,Type,BoxOffice
Dick Johnson Is Dead,2020,PG-13,02 Oct 2020,1 min,89,7.4,movie,N/A
Blood Diamond,2006,R,08 Dec 2006,143 min,64,8.0,movie,"$57,377,916"
Ganglands,2021–,TV-MA,24 Sep 2021,2 min,N/A,7.0,series,na
Jailbirds New Orleans,2021–,TV-MA,24 Sep 2021,1 min,N/A,6.7,series,na
Kota Factory,2019–2021,TV-14,16 Apr 2019,45 min,N/A,9.1,series,na
Midnight Mass,2021,TV-MA,24 Sep 2021,40 min,N/A,7.7,series,na
My Little Pony: A New Generation,2021,PG,24 Sep 2021,90 min,N/A,6.8,movie,N/A
Sankofa,1993,N/A,28 May 1993,125 min,93,7.0,movie,"$2,198,984"
The Great British Baking Show,2010–,TV-PG,27 Dec 2014,1 min,N/A,8.6,series,na
The Starling,2021,PG-13,24 Sep 2021,2 min,31,6.3,movie,N/A
Bangkok Breaking,2021–,TV-MA,23 Sep 2021,N/A,N/A,5.8,series,na
Je Suis Karl,2021,TV-MA,23 Sep 2021,1 min,N/A,5.5,movie,N/A
Confessions of an Invisible Girl,2021,TV-PG,22 Sep 2021,1 min,N/A,5.2,movie,N/A
Crime Stories: India Detectives,2021–,TV-MA,22 Sep 2021,N/A,N/A,7.1,series,na
Dear White People,2014,R,04 Dec 2014,2 min,79,6.1,movie,"$4,404,154"
Falsa identidad,2015,N/A,N/A,11 min,N/A,N/A,movie,N/A
Intrusion,2021,TV-14,22 Sep 2021,1 min,39,5.2,movie,N/A
Jaguar,2021–,TV-14,22 Sep 2021,2 min,N/A,5.7,series,na
Monsters Inside: The 24 Faces of Billy Milligan,2021,TV-MA,22 Sep 2021,1 min,N/A,6.2,series,na
Go! Go! Cory Carson: Chrissy Takes the Wheel,2021,N/A,21 Sep 2021,60 min,N/A,N/A,movie,N/A
Jeans,1998,Not Rated,24 Apr 1998,175 min,N/A,6.4,movie,N/A
Love on the Spectrum,2019–2021,TV-14,22 Jul 2020,N/A,N/A,8.6,series,na
Grown Ups,2010,PG-13,25 Jun 2010,102 min,30,5.9,movie,"$162,001,186"
Dark Skies,2013,PG-13,22 Feb 2013,97 min,50,6.3,movie,"$17,418,667"
Paranoia,2013,PG-13,16 Aug 2013,106 min,32,5.6,movie,"$7,388,654"
Ankahi Kahaniya,2021,TV-14,17 Sep 2021,110 min,N/A,5.5,movie,N/A
Chicago Party Aunt,2021–,TV-MA,17 Sep 2021,N/A,N/A,5.3,series,na
Sex Education,2019–,TV-MA,11 Jan 2019,45 min,N/A,8.4,series,na
Squid Game,2021–,TV-MA,17 Sep 2021,N/A,N/A,8.0,series,na
The Father Who Moves Mountains,2021,TV-MA,23 Jul 2021,1 min,N/A,5.5,movie,N/A
The Stronghold,2020,TV-MA,18 Aug 2021,44S min,N/A,6.9,movie,N/A
Angry Birds,2021,N/A,N/A,N/A,N/A,N/A,movie,N/A
Birth of the Dragon,2016,PG-13,25 Aug 2017,95 min,35,5.6,movie,"$6,901,965"
Chhota Bheem,2008–,N/A,31 Dec 2008,15 min,N/A,4.1,series,na
He-Man and the Masters of the Universe,1983–1985,TV-Y7,26 Sep 1983,30 min,N/A,7.5,series,na
Jaws,1975,PG,20 Jun 1975,124 min,87,8.1,movie,"$260,758,300"
Jaws 2,1978,PG,16 Jun 1978,116 min,51,5.8,movie,"$81,766,007"
Jaws 3-D,1983,PG,22 Jul 1983,1 min,27,3.7,movie,"$45,517,055"
Jaws: The Revenge,1987,PG-13,17 Jul 1987,89 min,15,3.0,movie,"$20,763,013"
My Heroes Were Cowboys,2021,PG,16 Sep 2021,22 min,N/A,6.7,movie,N/A
Safe House,2012,R,10 Feb 2012,115 min,52,6.7,movie,"$126,373,434"
The Smart Money Woman,2020–,N/A,30 Nov 2020,1 min,N/A,6.3,series,na
Training Day,2001,R,05 Oct 2001,122 min,69,7.7,movie,"$76,631,907"
Dharmakshetra,2014–2015,N/A,19 Nov 2014,43 min,N/A,8.3,series,na
InuYasha the Movie 2: The Castle Beyond the Looking Glass,2002,Not Rated,28 Dec 2004,99 min,N/A,7.3,movie,N/A
InuYasha the Movie 3: Swords of an Honorable Ruler,2003,Not Rated,01 May 2006,99 min,N/A,7.6,movie,N/A
Inuyasha the Movie 4: Fire on the Mystic Island,2004,Not Rated,20 Jul 2006,31S min,N/A,7.2,movie,N/A
Inuyasha the Movie: Affections Touching Across Time,2001,Not Rated,25 May 2005,100 min,N/A,7.2,movie,N/A
Nailed It,2018,Not Rated,26 Oct 2018,60 min,N/A,7.3,movie,N/A
Naruto Shippuden the Movie: Blood Prison,2011,TV-14,18 Feb 2014,108 min,N/A,7.1,movie,N/A
